FAM_0001;REF
HALDEX  ;03230306065              
HALDEX  ;03230308062              
HALDEX  ;0323030808               
HALDEX  ;03230308085              
HALDEX  ;03230309095              
HALDEX  ;0323031008               
HALDEX  ;03230310082              
HALDEX  ;0323031010               
HALDEX  ;03230310105              
HALDEX  ;03230311115              
HALDEX  ;03230312062              
HALDEX  ;03230312082              
HALDEX  ;03230312102              
HALDEX  ;03230312125              
HALDEX  ;0323031510               
HALDEX  ;03230315155              
HALDEX  ;03230316162              
HALDEX  ;03230318182              
HALDEX  ;032304513S               
HALDEX  ;03230506102              
HALDEX  ;03230506122              
HALDEX  ;03230506142              
HALDEX  ;03230506162              
HALDEX  ;03230506222              
HALDEX  ;03230508102              
HALDEX  ;0323050812               
HALDEX  ;03230508122              
HALDEX  ;03230508125              
HALDEX  ;0323050814               
HALDEX  ;03230508142              
HALDEX  ;0323050816               
HALDEX  ;03230508162              
HALDEX  ;0323050822               
HALDEX  ;03230508222              
HALDEX  ;03230508225              
HALDEX  ;0323051012               
HALDEX  ;03230510122              
HALDEX  ;03230510142              
HALDEX  ;0323051016               
HALDEX  ;03230510162              
HALDEX  ;03230510165              
HALDEX  ;0323051022               
HALDEX  ;03230510222              
HALDEX  ;03230510225              
HALDEX  ;0323051086               
HALDEX  ;03230510862              
HALDEX  ;0323051216               
HALDEX  ;03230512162              
HALDEX  ;03230512165              
HALDEX  ;0323051222               
HALDEX  ;03230512222              
HALDEX  ;03230512862              
HALDEX  ;03230515162              
HALDEX  ;0323051522               
HALDEX  ;03230515222              
HALDEX  ;03230516152              
HALDEX  ;03230516222              
HALDEX  ;0323051724               
HALDEX  ;03230517242              
HALDEX  ;03230518222              
HALDEX  ;03230522212              
HALDEX  ;0323052224               
HALDEX  ;03230522242              
HALDEX  ;032306013S               
HALDEX  ;032308013S               
HALDEX  ;03230806102              
HALDEX  ;03230806122              
HALDEX  ;03230806922              
HALDEX  ;0323080812               
HALDEX  ;03230808122              
HALDEX  ;03230808125              
HALDEX  ;03230808162              
HALDEX  ;03230808222              
HALDEX  ;03230810162              
HALDEX  ;03230810222              
HALDEX  ;03230812162              
HALDEX  ;03230812222              
HALDEX  ;03230815722              
HALDEX  ;03230815922              
HALDEX  ;03230826162              
HALDEX  ;03230826222              
HALDEX  ;03230828162              
HALDEX  ;03230828222              
HALDEX  ;03230858222              
HALDEX  ;03230880162              
HALDEX  ;03230880165              
HALDEX  ;03230882222              
HALDEX  ;03230886162              
HALDEX  ;03231006122              
HALDEX  ;0323100812               
HALDEX  ;03231008122              
HALDEX  ;03231008162              
HALDEX  ;03231008222              
HALDEX  ;03231010162              
HALDEX  ;03231010222              
HALDEX  ;03231012162              
HALDEX  ;0323101222               
